,date_game,game_location,game_result,losses,opp_name,opp_pts,overtimes,pts,wins,school_name
0,"Fri, Nov 10, 2017",,W,0,Hillsdale,68,,86,1,Abilene Christian
1,"Mon, Nov 13, 2017",@,L,1,Arkansas State,83,,69,1,Abilene Christian
2,"Thu, Nov 16, 2017",,W,1,Howard Payne,62,,112,2,Abilene Christian
3,"Mon, Nov 20, 2017",,L,2,Lipscomb,75,,67,2,Abilene Christian
4,"Fri, Nov 24, 2017",@,W,2,Campbell,80,OT,85,3,Abilene Christian
5,"Sat, Nov 25, 2017",N,L,3,South Carolina Upstate,88,,78,3,Abilene Christian
6,"Sun, Nov 26, 2017",N,W,3,Bowling Green State,83,,88,4,Abilene Christian
7,"Sat, Dec 2, 2017",,W,3,Schreiner,43,,71,5,Abilene Christian
8,"Wed, Dec 6, 2017",@,W,3,Air Force,58,,62,6,Abilene Christian
9,"Sat, Dec 9, 2017",,W,3,Texas State,68,,72,7,Abilene Christian
10,"Sun, Dec 17, 2017",@,L,4,Lipscomb,67,,65,7,Abilene Christian
11,"Tue, Dec 19, 2017",,W,4,Arlington Baptist,60,,109,8,Abilene Christian
12,"Fri, Dec 22, 2017",@,L,5,Texas Tech,74,,47,8,Abilene Christian
13,"Thu, Dec 28, 2017",@,L,6,New Orleans,77,,74,8,Abilene Christian
14,"Sat, Dec 30, 2017",,W,6,Sam Houston State,72,,75,9,Abilene Christian
15,"Wed, Jan 3, 2018",,W,6,McNeese State,74,,79,10,Abilene Christian
16,"Sat, Jan 6, 2018",,L,7,Southeastern Louisiana,72,,70,10,Abilene Christian
17,"Wed, Jan 10, 2018",@,W,7,Houston Baptist,74,,82,11,Abilene Christian
18,"Sat, Jan 13, 2018",@,W,7,Northwestern State,58,,69,12,Abilene Christian
19,"Wed, Jan 17, 2018",,L,8,Stephen F. Austin,76,,66,12,Abilene Christian
20,"Sat, Jan 20, 2018",@,W,8,Central Arkansas,63,,80,13,Abilene Christian
21,"Wed, Jan 24, 2018",@,L,9,Texas A&M-Corpus Christi,80,,66,13,Abilene Christian
22,"Wed, Jan 31, 2018",,W,9,Lamar,69,,74,14,Abilene Christian
23,"Sat, Feb 3, 2018",@,L,10,Sam Houston State,84,,77,14,Abilene Christian
24,"Wed, Feb 7, 2018",,L,11,Nicholls State,69,,65,14,Abilene Christian
25,"Sat, Feb 10, 2018",,W,11,Incarnate Word,69,,80,15,Abilene Christian
26,"Sat, Feb 17, 2018",@,L,12,Southeastern Louisiana,68,,54,15,Abilene Christian
27,"Thu, Feb 22, 2018",,L,13,Texas A&M-Corpus Christi,76,,67,15,Abilene Christian
28,"Sat, Feb 24, 2018",,L,14,Central Arkansas,74,,72,15,Abilene Christian
29,"Wed, Feb 28, 2018",@,L,15,Stephen F. Austin,76,,56,15,Abilene Christian
30,"Sat, Mar 3, 2018",@,W,15,Incarnate Word,59,,69,16,Abilene Christian
31,"Mon, Mar 12, 2018",@,L,16,Drake,80,OT,73,16,Abilene Christian
0,"Sun, Nov 12, 2017",,W,0,Texas State,57,,65,1,Air Force
1,"Tue, Nov 14, 2017",,W,0,Canisius,79,,93,2,Air Force
2,"Mon, Nov 20, 2017",,W,0,Arkansas-Pine Bluff,47,,57,3,Air Force
3,"Tue, Nov 21, 2017",,L,1,Pacific,83,,71,3,Air Force
4,"Sun, Nov 26, 2017",@,L,2,Colorado,81,,69,3,Air Force
5,"Wed, Nov 29, 2017",@,L,3,Indiana State,74,,64,3,Air Force
6,"Sat, Dec 2, 2017",@,W,3,Denver,59,,61,4,Air Force
7,"Mon, Dec 4, 2017",,W,3,Western State,67,,79,5,Air Force
8,"Wed, Dec 6, 2017",,L,4,Abilene Christian,62,,58,5,Air Force
9,"Fri, Dec 8, 2017",@,L,5,UC-Riverside,67,,48,5,Air Force
10,"Sun, Dec 17, 2017",N,L,6,Army,79,,54,5,Air Force
11,"Fri, Dec 22, 2017",,W,6,Johnson & Wales,68,,111,6,Air Force
12,"Wed, Dec 27, 2017",@,L,7,New Mexico,87,,58,6,Air Force
13,"Sat, Dec 30, 2017",@,L,8,Fresno State,71,,59,6,Air Force
14,"Sat, Jan 6, 2018",,L,9,Nevada,86,,75,6,Air Force
15,"Wed, Jan 10, 2018",,L,10,Nevada-Las Vegas,81,,76,6,Air Force
16,"Sat, Jan 13, 2018",@,W,10,San Jose State,71,,78,7,Air Force
17,"Wed, Jan 17, 2018",@,W,10,Colorado State,71,,76,8,Air Force
18,"Wed, Jan 24, 2018",@,L,11,Utah State,71,,49,8,Air Force
19,"Sat, Jan 27, 2018",,L,12,Boise State,70,,64,8,Air Force
20,"Sat, Feb 3, 2018",@,L,13,San Diego State,81,,50,8,Air Force
21,"Tue, Feb 6, 2018",,W,13,Colorado State,73,,78,9,Air Force
22,"Sat, Feb 10, 2018",,W,13,New Mexico,92,,100,10,Air Force
23,"Wed, Feb 14, 2018",@,L,14,Nevada-Las Vegas,81,,73,10,Air Force
24,"Sat, Feb 17, 2018",@,L,15,Boise State,76,,52,10,Air Force
25,"Wed, Feb 21, 2018",,L,16,San Diego State,67,,56,10,Air Force
26,"Sat, Feb 24, 2018",,W,16,Utah State,65,,75,11,Air Force
27,"Mon, Feb 26, 2018",,L,17,Fresno State,54,,48,11,Air Force
28,"Wed, Feb 28, 2018",@,L,18,Wyoming,66,,54,11,Air Force
29,"Sat, Mar 3, 2018",,W,18,San Jose State,61,,83,12,Air Force
